URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength
https://www.thegoodscentscompany.com/data/rw1056361.html,"1,8-cineole",eucalyptol,"4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane",470-82-6,154.25266000,C10 H18 O,colorless clear liquid (est),98.00 to 100.00,0.91900 to 0.92100 @  25.00 °C.,1.44800 to 1.45100 @  20.00 °C.,1.00 to    2.00 °C. @  760.00 mm Hg,"176.00 to  177.00 °C. @  760.00 mm Hg, 90.00 to   91.00 °C. @  760.00 mm Hg",122.00 °F. TCC (   50.00 °C. ),herbal,"high ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1009291.html,"2,3,5,6-tetramethyl pyrazine","2,3,5,6-tetramethylpyrazine","2,3,5,6-tetramethylpyrazine",1124-11-4,136.19764000,C8 H12 N2,white crystals (est),95.00 to 100.00,Tidak ditemukan,Tidak ditemukan,85.00 to   90.00 °C. @  760.00 mm Hg,190.00 °C. @  760.00 mm Hg,> 200.00 °F. TCC ( >  93.33 °C. ),nutty,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1012941.html,"2,3,5-trimethyl pyrazine","2,3,5-trimethylpyrazine","2,3,5-trimethylpyrazine",14667-55-1,122.17070000,C7 H10 N2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.96500 to 0.98500 @  25.00 °C.,1.49000 to 1.51000 @  20.00 °C.,Tidak ditemukan,171.00 to  172.00 °C. @  760.00 mm Hg,130.00 °F. TCC (   54.44 °C. ),nutty,"high ,recommend smelling in a 0.01 % solution or less"
https://www.thegoodscentscompany.com/data/rw1008121.html,"2,3-dimethyl pyrazine","2,3-dimethylpyrazine","2,3-dimethylpyrazine",5910-89-4,108.14376000,C6 H8 N2,colorless to pale yellow clear liquid (est),95.00 to 100.00,0.99700 to 1.03000 @  25.00 °C.,1.50100 to 1.51000 @  20.00 °C.,Tidak ditemukan,155.00 to  157.00 °C. @  760.00 mm Hg,128.00 °F. TCC (   53.33 °C. ),nutty,"high ,recommend smelling in a 0.10 % solution or less"
https://www.thegoodscentscompany.com/data/rw1014711.html,acetyl butyryl,"2,3-hexanedione","hexane-2,3-dione",3848-24-6,114.14410000,C6 H10 O2,yellow clear liquid (est),96.00 to 100.00,0.92600 to 0.93600 @  25.00 °C.,1.40600 to 1.41600 @  20.00 °C.,-30.00 °C. @  760.00 mm Hg,128.00 °C. @  760.00 mm Hg,83.00 °F. TCC (   28.33 °C. ),buttery,"high ,recommend smelling in a 1.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1003991.html,acetyl propionyl,"2,3-pentadione","pentane-2,3-dione",600-14-6,100.11716000,C5 H8 O2,yellow to yellow green clear liquid (est),96.00 to 100.00,Tidak ditemukan,Tidak ditemukan,-52.00 to  -51.00 °C. @  760.00 mm Hg,108.00 to  112.00 °C. @  760.00 mm Hg,66.00 °F. TCC (   18.89 °C. ),buttery,"high ,recommend smelling in a 1.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1008141.html,"2,5-dimethyl pyrazine","2,5-dimethylpyrazine","2,5-dimethylpyrazine",123-32-0,108.14376000,C6 H8 N2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.98000 to 1.00000 @  25.00 °C.,1.49700 to 1.50100 @  20.00 °C.,15.00 °C. @  760.00 mm Hg,154.00 to  156.00 °C. @  760.00 mm Hg,130.00 °F. TCC (   54.44 °C. ),chocolate,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1008151.html,"2,6-dimethyl pyrazine","2,6-dimethylpyrazine","2,6-dimethylpyrazine",108-50-9,108.14376000,C6 H8 N2,white to yellow crystals (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,37.00 to   48.00 °C. @  760.00 mm Hg,154.00 to  155.00 °C. @  760.00 mm Hg,127.00 °F. TCC (   52.78 °C. ),chocolate,"medium ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1012201.html,2-acetyl pyrazine,1-pyrazin-2-ylethanone,1-pyrazin-2-ylethanone,22047-25-2,122.12702000,C6 H6 N2 O,white to pale yellow crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,76.00 to   78.00 °C. @  760.00 mm Hg,188.00 to  190.00 °C. @  760.00 mm Hg,> 212.00 °F. TCC ( > 100.00 °C. ),popcorn,"very high ,recommend smelling in a 0.10 % solution or less"
https://www.thegoodscentscompany.com/data/rw1028421.html,2-acetyl pyrrole,methyl 2-pyrrolyl ketone,1-(1H-pyrrol-2-yl)ethanone,1072-83-9,109.12799000,C6 H7 N O,beige to yellowish crystals (est),97.00 to 100.00,Tidak ditemukan,Tidak ditemukan,87.00 to   93.00 °C. @  760.00 mm Hg,220.00 °C. @  760.00 mm Hg,> 212.00 °F. TCC ( > 100.00 °C. ),musty,Tidak ditemukan
